Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
828,"A Santoro, D Raposo, DG Barrett…","A simple neural network module for relational reasoning",2017,"Advances in neural …","papers.nips.cc","http://papers.nips.cc/paper/7082-a-simple-neural-network-module-for-relational-reasoning","https://scholar.google.com/scholar?cites=7624683168776555686&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-10-24 07:39:54","","","","",,,,,828,276.00,207,4,3,"Relational reasoning is a central component of generally intelligent behavior, but has proven difficult for neural networks to learn. In this paper we describe how to use Relation Networks (RNs) as a simple plug-and-play module to solve problems that fundamentally …"
773,"K Xu, W Hu, J Leskovec, S Jegelka","How powerful are graph neural networks?",2018,"arXiv preprint arXiv:1810.00826","arxiv.org","https://arxiv.org/abs/1810.00826","https://scholar.google.com/scholar?cites=9955904491400591671&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-10-24 07:39:54","","","","",,,,,773,386.50,193,4,2,"Graph Neural Networks (GNNs) are an effective framework for representation learning of graphs. GNNs follow a neighborhood aggregation scheme, where the representation vector of a node is computed by recursively aggregating and transforming representation vectors of …"
564,"J Zhou, G Cui, Z Zhang, C Yang, Z Liu, L Wang…","Graph neural networks: A review of methods and applications",2018,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1812.08434","https://scholar.google.com/scholar?cites=7404450924058259058&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-10-24 07:39:54","","","","",,,,,564,282.00,81,7,2,"Lots of learning tasks require dealing with graph data which contains rich relation information among elements. Modeling physics system, learning molecular fingerprints, predicting protein interface, and classifying diseases require a model to learn from graph …"
436,"Y Li, R Bu, M Sun, W Wu, X Di, B Chen","Pointcnn: Convolution on x-transformed points",2018,"Advances in neural …","papers.nips.cc","http://papers.nips.cc/paper/7362-pointcnn-convolution-on-x-transformed-points","https://scholar.google.com/scholar?cites=9461711858418183791&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-10-24 07:39:54","","","","",,,,,436,218.00,73,6,2,"We present a simple and general framework for feature learning from point cloud. The key to the success of CNNs is the convolution operator that is capable of leveraging spatially-local correlation in data represented densely in grids (eg images). However, point cloud are …"
305,"J Li, BM Chen, G Hee Lee","So-net: Self-organizing network for point cloud analysis",2018,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Li_SO-Net_Self-Organizing_Network_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=16985384514000508037&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-10-24 07:39:54","","","","",,,,,305,152.50,102,3,2,"This paper presents SO-Net, a permutation invariant architecture for deep learning with orderless point clouds. The SO-Net models the spatial distribution of point cloud by building a Self-Organizing Map (SOM). Based on the SOM, SO-Net performs hierarchical feature …"
293,"TS Cohen, M Geiger, J Köhler, M Welling","Spherical cnns",2018,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1801.10130","https://scholar.google.com/scholar?cites=6361332838540502667&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-10-24 07:39:54","","","","",,,,,293,146.50,73,4,2,"Convolutional Neural Networks (CNNs) have become the method of choice for learning problems involving 2D planar images. However, a number of problems of recent interest have created a demand for models that can analyze spherical images. Examples include …"
279,"H Su, V Jampani, D Sun, S Maji…","Splatnet: Sparse lattice networks for point cloud processing",2018,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Su_SPLATNet_Sparse_Lattice_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=13061080896686849882&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-10-24 07:39:54","","","","",,,,,279,139.50,56,5,2,"We present a network architecture for processing point clouds that directly operates on a collection of points represented as a sparse set of samples in a high-dimensional lattice. Naively applying convolutions on this lattice scales poorly, both in terms of memory and …"
248,"Y Yang, C Feng, Y Shen, D Tian","Foldingnet: Point cloud auto-encoder via deep grid deformation",2018,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Yang_FoldingNet_Point_Cloud_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=1118180815001029149&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-10-24 07:39:54","","","","",,,,,248,124.00,62,4,2,"Recent deep networks that directly handle points in a point set, eg, PointNet, have been state-of-the-art for supervised learning tasks on point clouds such as classification and segmentation. In this work, a novel end-to-end deep auto-encoder is proposed to address …"
231,"M Ilse, JM Tomczak, M Welling","Attention-based deep multiple instance learning",2018,"arXiv preprint arXiv:1802.04712","arxiv.org","https://arxiv.org/abs/1802.04712","https://scholar.google.com/scholar?cites=10689360653942822671&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-10-24 07:39:54","","","","",,,,,231,115.50,77,3,2,"Multiple instance learning (MIL) is a variation of supervised learning where a single class label is assigned to a bag of instances. In this paper, we state the MIL problem as learning the Bernoulli distribution of the bag label where the bag label probability is fully …"
206,"T Kipf, E Fetaya, KC Wang, M Welling…","Neural relational inference for interacting systems",2018,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1802.04687","https://scholar.google.com/scholar?cites=5985084190905139950&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-10-24 07:39:54","","","","",,,,,206,103.00,41,5,2,"Interacting systems are prevalent in nature, from dynamical systems in physics to complex societal dynamics. The interplay of components can give rise to complex behavior, which can often be explained using a simple model of the system's constituent parts. In this work …"
198,"AJ Larkoski, I Moult, B Nachman","Jet substructure at the Large Hadron Collider: a review of recent advances in theory and machine learning",2020,"Physics Reports","Elsevier","https://www.sciencedirect.com/science/article/pii/S0370157319303643","https://scholar.google.com/scholar?cites=13777669328135479217&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-10-24 07:39:54","","","","",,,,,198,198.00,66,3,1,"Jet substructure has emerged to play a central role at the Large Hadron Collider (LHC), where it has provided numerous innovative new ways to search for new physics and to probe the Standard Model in extreme regions of phase space. In this article we provide a …"
186,"Y Xu, T Fan, M Xu, L Zeng…","Spidercnn: Deep learning on point sets with parameterized convolutional filters",2018,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_ECCV_2018/html/Yifan_Xu_SpiderCNN_Deep_Learning_ECCV_2018_paper.html","https://scholar.google.com/scholar?cites=11043116005156708707&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-10-24 07:39:54","","","","",,,,,186,93.00,37,5,2,"Deep neural networks have enjoyed remarkable success for various vision tasks, however it remains challenging to apply CNNs to domains lacking a regular underlying structures such as 3D point clouds. Towards this we propose a novel convolutional architecture, termed …"
157,"R Das, S Dhuliawala, M Zaheer, L Vilnis…","Go for a walk and arrive at the answer: Reasoning over paths in knowledge bases using reinforcement learning",2017,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1711.05851","https://scholar.google.com/scholar?cites=4820794446342808007&as_sdt=2005&sciodt=0,5&hl=en",13,"2020-10-24 07:39:54","","","","",,,,,157,52.33,31,5,3,"Knowledge bases (KB), both automatically and manually constructed, are often incomplete---many valid facts can be inferred from the KB by synthesizing existing information. A popular approach to KB completion is to infer new relations by combinatory reasoning over the …"
148,"H Thomas, CR Qi, JE Deschaud…","Kpconv: Flexible and deformable convolution for point clouds",2019,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_ICCV_2019/html/Thomas_KPConv_Flexible_and_Deformable_Convolution_for_Point_Clouds_ICCV_2019_paper.html","https://scholar.google.com/scholar?cites=3624207554820090870&as_sdt=2005&sciodt=0,5&hl=en",18,"2020-10-24 07:39:54","","","","",,,,,148,148.00,37,4,1,"Abstract We present Kernel Point Convolution (KPConv), a new design of point convolution, ie that operates on point clouds without any intermediate representation. The convolution weights of KPConv are located in Euclidean space by kernel points, and applied to the input …"
129,"M Atzmon, H Maron, Y Lipman","Point convolutional neural networks by extension operators",2018,"arXiv preprint arXiv:1803.10091","arxiv.org","https://arxiv.org/abs/1803.10091","https://scholar.google.com/scholar?cites=6536237032480059688&as_sdt=2005&sciodt=0,5&hl=en",14,"2020-10-24 07:39:54","","","","",,,,,129,64.50,43,3,2,"This paper presents Point Convolutional Neural Networks (PCNN): a novel framework for applying convolutional neural networks to point clouds. The framework consists of two operators: extension and restriction, mapping point cloud functions to volumetric functions …"
113,"Z Lin, A Khetan, G Fanti, S Oh","Pacgan: The power of two samples in generative adversarial networks",2018,"Advances in neural information …","papers.nips.cc","http://papers.nips.cc/paper/7423-pacgan-the-power-of-two-samples-in-generative-adversarial-networks","https://scholar.google.com/scholar?cites=14705983068913748289&as_sdt=2005&sciodt=0,5&hl=en",15,"2020-10-24 07:39:54","","","","",,,,,113,56.50,28,4,2,"Generative adversarial networks (GANs) are a technique for learning generative models of complex data distributions from samples. Despite remarkable advances in generating realistic images, a major shortcoming of GANs is the fact that they tend to produce samples …"
107,"S Van Steenkiste, M Chang, K Greff…","Relational neural expectation maximization: Unsupervised discovery of objects and their interactions",2018,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1802.10353","https://scholar.google.com/scholar?cites=11323622217846680222&as_sdt=2005&sciodt=0,5&hl=en",17,"2020-10-24 07:39:54","","","","",,,,,107,53.50,27,4,2,"Common-sense physical reasoning is an essential ingredient for any intelligent agent operating in the real-world. For example, it can be used to simulate the environment, or to infer the state of parts of the world that are currently unobserved. In order to match real-world …"
95,"Y Liu, B Fan, S Xiang, C Pan","Relation-shape convolutional neural network for point cloud analysis",2019,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_CVPR_2019/html/Liu_Relation-Shape_Convolutional_Neural_Network_for_Point_Cloud_Analysis_CVPR_2019_paper.html","https://scholar.google.com/scholar?cites=11483419455001652603&as_sdt=2005&sciodt=0,5&hl=en",23,"2020-10-24 07:39:54","","","","",,,,,95,95.00,24,4,1,"Point cloud analysis is very challenging, as the shape implied in irregular points is difficult to capture. In this paper, we propose RS-CNN, namely, Relation-Shape Convolutional Neural Network, which extends regular grid CNN to irregular configuration for point cloud analysis …"
91,"A Kipf, T Kipf, B Radke, V Leis, P Boncz…","Learned cardinalities: Estimating correlated joins with deep learning",2018,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1809.00677","https://scholar.google.com/scholar?cites=3723813823239472844&as_sdt=2005&sciodt=0,5&hl=en",19,"2020-10-24 07:39:54","","","","",,,,,91,45.50,15,6,2,"We describe a new deep learning approach to cardinality estimation. MSCN is a multi-set convolutional network, tailored to representing relational query plans, that employs set semantics to capture query features and true cardinalities. MSCN builds on sampling-based …"
89,"J Lee, Y Lee, J Kim, A Kosiorek…","Set transformer: A framework for attention-based permutation-invariant neural networks",2019,"… on Machine Learning","proceedings.mlr.press","http://proceedings.mlr.press/v97/lee19d.html","https://scholar.google.com/scholar?cites=17919101428845225520&as_sdt=2005&sciodt=0,5&hl=en",16,"2020-10-24 07:39:54","","","","",,,,,89,89.00,18,5,1,"Many machine learning tasks such as multiple instance learning, 3D shape recognition, and few-shot image classification are defined on sets of instances. Since solutions to such problems do not depend on the order of elements of the set, models used to address them …"
88,"M Weiler, M Geiger, M Welling, W Boomsma…","3d steerable cnns: Learning rotationally equivariant features in volumetric data",2018,"Advances in Neural …","papers.nips.cc","http://papers.nips.cc/paper/8239-3d-steerable-cnns-learning-rotationally-equivariant-features-in-volumetric-data","https://scholar.google.com/scholar?cites=10898598436815000986&as_sdt=2005&sciodt=0,5&hl=en",20,"2020-10-24 07:39:54","","","","",,,,,88,44.00,18,5,2,"We present a convolutional network that is equivariant to rigid body motions. The model uses scalar-, vector-, and tensor fields over 3D Euclidean space to represent data, and equivariant convolutions to map between such representations. These SE (3)-equivariant …"
84,"PT Komiske, EM Metodiev, J Thaler","Energy flow networks: deep sets for particle jets",2019,"Journal of High Energy Physics","Springer","https://link.springer.com/content/pdf/10.1007/JHEP01(2019)121.pdf","https://scholar.google.com/scholar?cites=14371910767110055781&as_sdt=2005&sciodt=0,5&hl=en",21,"2020-10-24 07:39:54","PDF","","","",,,,,84,84.00,28,3,1,"A bstract A key question for machine learning approaches in particle physics is how to best represent and learn from collider events. As an event is intrinsically a variable-length unordered set of particles, we build upon recent machine learning efforts to learn directly …"
76,"M Zaheer, S Reddi, D Sachan, S Kale…","Adaptive methods for nonconvex optimization",2018,"Advances in neural …","papers.nips.cc","http://papers.nips.cc/paper/8186-adaptive-methods-for-nonconvex-optimization","https://scholar.google.com/scholar?cites=13576720529696525340&as_sdt=2005&sciodt=0,5&hl=en",32,"2020-10-24 07:39:54","","","","",,,,,76,38.00,15,5,2,"Adaptive gradient methods that rely on scaling gradients down by the square root of exponential moving averages of past squared gradients, such RMSProp, Adam, Adadelta have found wide application in optimizing the nonconvex problems that arise in deep …"
71,"Y Li, C Gu, T Dullien, O Vinyals, P Kohli","Graph matching networks for learning the similarity of graph structured objects",2019,"arXiv preprint arXiv:1904.12787","arxiv.org","https://arxiv.org/abs/1904.12787","https://scholar.google.com/scholar?cites=13607991845696425216&as_sdt=2005&sciodt=0,5&hl=en",34,"2020-10-24 07:39:54","","","","",,,,,71,71.00,14,5,1,"This paper addresses the challenging problem of retrieval and matching of graph structured objects, and makes two key contributions. First, we demonstrate how Graph Neural Networks (GNN), which have emerged as an effective model for various supervised …"
70,"TS Cohen, M Weiler, B Kicanaoglu…","Gauge equivariant convolutional networks and the icosahedral cnn",2019,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1902.04615","https://scholar.google.com/scholar?cites=2560631989966493031&as_sdt=2005&sciodt=0,5&hl=en",24,"2020-10-24 07:39:54","","","","",,,,,70,70.00,18,4,1,"The principle of equivariance to symmetry transformations enables a theoretically grounded approach to neural network architecture design. Equivariant networks have shown excellent performance and data efficiency on vision and medical imaging problems that exhibit …"
70,"A Kosiorek, H Kim, YW Teh, I Posner","Sequential attend, infer, repeat: Generative modelling of moving objects",2018,"Advances in Neural …","papers.nips.cc","http://papers.nips.cc/paper/8079-sequential-attend-infer-repeat-generative-modelling-of-moving-objects","https://scholar.google.com/scholar?cites=7430884807828197721&as_sdt=2005&sciodt=0,5&hl=en",25,"2020-10-24 07:39:54","","","","",,,,,70,35.00,18,4,2,"Abstract We present Sequential Attend, Infer, Repeat (SQAIR), an interpretable deep generative model for image sequences. It can reliably discover and track objects through the sequence; it can also conditionally generate future frames, thereby simulating expected …"
70,"H Maron, H Ben-Hamu, N Shamir, Y Lipman","Invariant and equivariant graph networks",2018,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1812.09902","https://scholar.google.com/scholar?cites=17830445355098449552&as_sdt=2005&sciodt=0,5&hl=en",33,"2020-10-24 07:39:54","","","","",,,,,70,35.00,18,4,2,"Invariant and equivariant networks have been successfully used for learning images, sets, point clouds, and graphs. A basic challenge in developing such networks is finding the maximal collection of invariant and equivariant linear layers. Although this question is …"
