Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
770,"Y Zhou, O Tuzel","Voxelnet: End-to-end learning for point cloud based 3d object detection",2018,"Proceedings of the IEEE Conference on …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Zhou_VoxelNet_End-to-End_Learning_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=8219640496202186405&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-10-22 19:32:26","","","","",,,,,770,385.00,385,2,2,"Accurate detection of objects in 3D point clouds is a central problem in many applications, such as autonomous navigation, housekeeping robots, and augmented/virtual reality. To interface a highly sparse LiDAR point cloud with a region proposal network (RPN), most …"
665,"CR Qi, W Liu, C Wu, H Su…","Frustum pointnets for 3d object detection from rgb-d data",2018,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Qi_Frustum_PointNets_for_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=4885970701564432144&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-10-22 19:32:26","","","","",,,,,665,332.50,133,5,2,"In this work, we study 3D object detection from RGB-D data in both indoor and outdoor scenes. While previous methods focus on images or 3D voxels, often obscuring natural 3D patterns and invariances of 3D data, we directly operate on raw point clouds by popping up …"
744,"Y Wang, Y Sun, Z Liu, SE Sarma…","Dynamic graph cnn for learning on point clouds",2019,"Acm Transactions On …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3326362","https://scholar.google.com/scholar?cites=335276923828215991&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-10-22 19:32:26","","","","",,,,,744,744.00,149,5,1,"Point clouds provide a flexible geometric representation suitable for countless applications in computer graphics; they also comprise the raw output of most 3D data acquisition devices. While hand-designed features on point clouds have long been proposed in graphics and …"
442,"C Zhang, P Patras, H Haddadi","Deep learning in mobile and wireless networking: A survey",2019,"IEEE Communications Surveys …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8666641/","https://scholar.google.com/scholar?cites=17816825046235643459&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-10-22 19:32:26","","","","",,,,,442,442.00,147,3,1,"The rapid uptake of mobile devices and the rising popularity of mobile applications and services pose unprecedented demands on mobile and wireless networking infrastructure. Upcoming 5G systems are evolving to support exploding mobile traffic volumes, real-time …"
432,"Y Li, R Bu, M Sun, W Wu, X Di, B Chen","Pointcnn: Convolution on x-transformed points",2018,"Advances in neural …","papers.nips.cc","http://papers.nips.cc/paper/7362-pointcnn-convolution-on-x-transformed-points","https://scholar.google.com/scholar?cites=9461711858418183791&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-10-22 19:32:26","","","","",,,,,432,216.00,72,6,2,"We present a simple and general framework for feature learning from point cloud. The key to the success of CNNs is the convolution operator that is capable of leveraging spatially-local correlation in data represented densely in grids (eg images). However, point cloud are …"
287,"P Achlioptas, O Diamanti…","Learning representations and generative models for 3d point clouds",2018,"… on machine learning","proceedings.mlr.press","http://proceedings.mlr.press/v80/achlioptas18a","https://scholar.google.com/scholar?cites=12802077524133497194&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-10-22 19:32:26","","","","",,,,,287,143.50,96,3,2,"Three-dimensional geometric data offer an excellent domain for studying representation learning and generative modeling. In this paper, we look at geometric data represented as point clouds. We introduce a deep AutoEncoder (AE) network with state-of-the-art …"
303,"J Li, BM Chen, G Hee Lee","So-net: Self-organizing network for point cloud analysis",2018,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Li_SO-Net_Self-Organizing_Network_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=16985384514000508037&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-10-22 19:32:26","","","","",,,,,303,151.50,101,3,2,"This paper presents SO-Net, a permutation invariant architecture for deep learning with orderless point clouds. The SO-Net models the spatial distribution of point cloud by building a Self-Organizing Map (SOM). Based on the SOM, SO-Net performs hierarchical feature …"
301,"H Kato, Y Ushiku, T Harada","Neural 3d mesh renderer",2018,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Kato_Neural_3D_Mesh_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=18124006187204472736&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-10-22 19:32:26","","","","",,,,,301,150.50,100,3,2,"For modeling the 3D world behind 2D images, which 3D representation is most appropriate? A polygon mesh is a promising candidate for its compactness and geometric properties. However, it is not straightforward to model a polygon mesh from 2D images using neural …"
310,"L Landrieu, M Simonovsky","Large-scale point cloud semantic segmentation with superpoint graphs",2018,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Landrieu_Large-Scale_Point_Cloud_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=8028725506123126280&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-10-22 19:32:26","","","","",,,,,310,155.00,155,2,2,"We propose a novel deep learning-based framework to tackle the challenge of semantic segmentation of large-scale point clouds of millions of points. We argue that the organization of 3D point clouds can be efficiently captured by a structure called superpoint graph (SPG) …"
319,"T Groueix, M Fisher, VG Kim…","A papier-mâché approach to learning 3d surface generation",2018,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Groueix_A_Papier-Mache_Approach_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=10314505567513952833&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-10-22 19:32:26","","","","",,,,,319,159.50,80,4,2,"We introduce a method for learning to generate the surface of 3D shapes. Our approach represents a 3D shape as a collection of parametric surface elements and, in contrast to methods generating voxel grids or point clouds, naturally infers a surface representation of …"
